close,signals
56877.13,0
56881.24,0
56830.26,0
56781.1,0
56822.41,0
56839.36,0
56792.26,-1
56707.0,0
56944.05,1
56849.38,-1
56790.61,0
56785.53,1
56796.44,0
56777.05,-1
56813.66,0
56784.72,-1
56804.63,0
56885.06,0
57060.39,0
57254.25,0
57431.89,0
57444.78,-1
57523.96,1
57416.33,0
57525.72,1
57382.42,-1
57246.81,0
57280.38,1
57198.9,-1
57245.93,0
57220.89,0
57133.81,-1
57064.55,1
57149.98,0
57130.47,0
57015.08,-1
56951.19,1
56999.01,0
57150.0,0
57217.13,0
57382.51,0
57232.78,-1
57165.13,0
57257.41,1
57283.41,0
57394.7,0
57246.14,-1
57264.19,1
57188.66,0
57187.02,1
57336.92,0
57314.64,-1
57436.11,0
57482.05,0
57349.31,-1
57231.83,0
57294.77,1
57497.63,0
57383.98,-1
57268.79,0
57027.19,0
56700.01,0
56898.57,1
57021.98,0
57142.88,0
57128.76,-1
56822.53,0
56592.9,0
56711.93,1
56924.05,0
56906.79,0
56963.07,0
56959.92,-1
56858.09,0
56845.79,1
56785.55,0
56675.45,0
56766.9,1
56726.74,0
56737.67,0
56697.9,-1
56817.04,0
56960.4,0
57008.6,0
57149.16,0
57180.59,-1
57161.31,0
57087.75,0
57040.01,0
56871.19,0
56905.1,1
56911.45,0
56835.86,-1
56752.05,0
56866.53,1
56970.82,0
56999.21,0
56892.66,-1
57090.97,1
57139.2,0
57009.48,-1
56982.58,0
57135.83,1
57122.14,-1
57062.03,0
57047.19,1
57014.12,0
56979.74,0
56965.89,0
56977.21,0
57076.68,0
57058.76,-1
57033.36,0
56865.95,0
56842.66,1
56847.57,0
56862.35,0
56894.9,0
56865.83,-1
56827.56,0
56848.65,0
56800.25,-1
56793.59,0
56816.75,0
56793.08,-1
56854.59,0
56773.02,-1
56701.91,0
56823.81,1
56817.28,0
56858.25,0
56818.81,-1
56797.09,0
56852.3,0
56916.64,0
57045.09,0
57055.8,-1
57060.02,0
57199.0,0
57187.73,-1
57190.0,0
57304.33,1
57418.1,0
57399.79,-1
57369.98,0
57310.55,0
57290.19,1
57187.06,0
57078.97,0
57030.94,1
56954.97,0
56822.03,0
56943.39,1
56796.27,-1
56778.74,1
56866.58,0
56894.31,0
56917.15,0
56939.41,0
57000.9,0
57027.71,0
57074.53,0
57077.21,-1
57000.0,0
57193.41,1
57309.2,0
57236.01,-1
57074.86,0
56947.26,0
57237.38,1
57050.56,-1
57098.79,1
57167.03,0
56991.91,-1
56997.08,1
56962.97,-1
56862.27,0
56872.45,1
57002.2,0
57000.92,0
56988.79,-1
56857.87,0
56902.0,1
56800.47,-1
56728.01,1
56780.58,0
56856.54,0
56859.66,0
56661.87,-1
56749.69,1
56822.97,0
56592.11,-1
56587.65,1
56511.01,0
56728.21,0
56716.63,0
56648.7,-1
56630.0,1
56750.01,0
56738.28,-1
56729.25,0
56754.65,0
56798.19,0
56735.85,-1
56710.73,1
56767.99,0
56804.11,0
56769.85,-1
56633.9,0
56827.15,1
56796.97,-1
56757.65,0
56814.79,1
56921.17,0
56992.27,0
56987.44,-1
56968.51,0
56946.99,0
56888.44,0
56866.62,1
57050.44,0
57029.99,-1
57172.37,0
57117.64,-1
56996.07,0
57051.26,1
57028.27,-1
57072.0,0
56946.14,-1
56891.12,1
56888.98,0
56907.38,0
56898.87,0
56817.22,-1
56983.65,1
57050.41,0
56960.01,-1
56966.27,1
56881.82,0
56775.6,0
56893.03,1
57037.7,0
57169.99,0
57080.01,-1
57140.64,1
57079.02,0
57100.0,1
57290.73,0
57249.97,-1
57236.37,0
57243.89,1
57246.35,0
57261.57,0
57230.0,-1
57250.0,0
57504.31,0
57828.47,0
57980.02,0
58167.14,0
58211.5,-1
58357.09,1
58208.97,0
58275.21,1
58100.08,0
58156.43,1
58172.99,0
58181.17,0
58136.74,-1
58061.43,0
58020.28,1
57973.64,0
57987.36,0
57982.1,0
57928.72,-1
57886.32,0
57818.72,0
57860.7,0
57820.23,-1
57917.3,0
57845.55,-1
57765.67,0
57852.64,1
57831.22,0
57910.23,0
57937.64,0
57999.96,0
58092.25,0
58055.42,-1
58025.74,0
57960.35,0
58009.28,1
57933.8,-1
57988.0,1
57932.89,-1
57910.69,0
57936.91,0
57850.0,-1
57748.53,0
57681.98,1
57696.96,0
57704.65,0
57811.0,0
57789.64,-1
57652.98,0
57749.5,1
57719.43,-1
57680.0,0
57686.62,0
57687.23,0
57536.53,-1
57582.98,1
57647.55,0
57616.97,-1
57699.99,0
57569.02,-1
57462.17,0
57468.72,1
57376.63,-1
57479.98,0
57348.37,-1
57333.11,1
57403.91,0
57378.8,0
57410.26,0
57419.27,0
57329.84,-1
57358.77,1
57389.91,0
57477.11,0
57461.97,-1
57467.98,0
57231.88,0
57271.31,1
57254.79,0
57248.04,0
57196.58,-1
57005.64,0
57070.0,1
57143.14,0
57180.74,0
57116.44,-1
57203.47,1
57264.33,0
57225.01,-1
57195.2,0
57256.91,1
57216.37,-1
57175.48,0
57199.97,0
57334.22,0
57341.31,0
57259.97,-1
57153.13,0
57091.88,0
56950.65,0
57023.0,1
56983.32,0
57055.35,0
57008.12,-1
57076.66,0
57055.34,-1
57008.24,0
57000.0,1
57100.3,0
57055.85,-1
57022.5,0
57011.67,0
57058.1,0
57341.92,0
57251.54,-1
56886.66,0
56906.48,1
57088.49,0
57140.95,0
57186.79,0
56959.05,-1
57074.8,1
57156.5,0
57076.88,-1
57303.99,1
57399.0,0
57295.0,-1
57261.48,0
57233.76,0
57076.09,0
57082.67,1
57130.2,0
57081.13,-1
56937.04,0
56599.61,0
56857.05,1
56845.96,0
56718.03,-1
56827.3,1
56958.91,0
56935.91,-1
56982.3,0
56898.01,-1
56988.84,1
56985.53,-1
56913.38,0
56994.21,1
56980.29,-1
57077.0,0
56959.09,-1
56979.5,1
56897.4,0
56949.94,1
56788.52,-1
56923.91,1
57002.5,0
56871.52,-1
56777.0,0
56827.82,1
56763.69,-1
56852.55,0
56926.81,0
56838.08,-1
56799.28,0
56822.83,1
56775.71,-1
56908.69,0
56698.29,-1
56503.32,0
56079.44,0
55847.81,0
55658.42,1
55614.44,0
55817.2,0
55815.14,0
55953.02,0
55815.58,-1
55753.57,0
55891.62,1
55785.33,-1
55685.93,0
55611.15,0
55641.4,1
55481.14,-1
55468.11,1
55327.43,-1
55481.33,1
55659.01,0
55790.72,0
55824.55,-1
55898.19,0
55864.15,0
55910.95,1
55995.31,0
56246.37,0
56263.22,-1
56153.87,0
56128.42,0
56012.18,0
55995.81,1
55801.79,0
55785.32,1
55814.49,0
55776.59,0
55891.57,0
55812.92,-1
55914.48,1
56019.83,0
55891.25,-1
55930.84,1
56143.38,0
56015.73,-1
55873.88,0
55846.57,1
55994.2,0
55890.84,-1
55888.75,1
55913.75,0
55909.51,0
56019.67,0
55929.84,-1
56046.27,1
56134.07,0
56031.58,-1
56124.5,1
56195.24,0
56234.91,0
56240.72,-1
56179.32,0
56227.81,1
56326.2,0
56251.87,-1
56275.0,1
56325.29,0
56324.8,-1
56286.78,0
56275.39,1
56296.52,0
56242.98,-1
56323.06,0
56293.5,-1
56281.57,0
56205.11,0
56307.69,1
56421.25,0
56441.22,0
56298.62,-1
56237.58,0
56325.0,1
56352.04,0
56403.91,0
56467.37,0
56487.43,-1
56425.15,0
56403.93,1
56420.21,0
56468.39,0
56498.56,0
56411.96,-1
56399.95,1
56437.52,0
56496.62,0
56535.67,0
56565.49,0
56431.52,-1
56286.54,0
56463.83,1
56530.44,0
56729.04,0
56653.63,-1
56582.25,0
56462.19,0
56468.49,1
56465.81,0
56595.9,0
56443.4,-1
56322.27,0
56393.68,1
56249.83,-1
56199.04,1
56262.16,0
56523.81,0
56709.6,0
57028.06,0
56968.99,-1
56977.02,0
56794.35,0
56781.24,0
56651.05,0
56817.31,1
56719.25,-1
56744.25,1
56734.95,0
56680.74,-1
56631.26,0
56663.36,0
56523.99,-1
56376.29,0
56440.8,1
56255.32,-1
56300.01,1
56020.8,-1
56037.84,1
56137.45,0
56237.48,0
56170.0,-1
56200.65,0
56260.0,0
56224.98,-1
56248.76,0
56145.7,-1
56161.51,1
56105.39,-1
56026.46,0
56089.88,1
56157.87,0
56168.37,0
56197.07,0
56388.01,0
56211.45,-1
56198.99,0
56233.89,1
56294.59,0
56177.44,-1
56184.82,1
56265.91,0
56120.24,-1
55876.58,0
55753.96,0
55842.09,1
55771.98,0
55657.07,-1
55651.87,1
55807.42,0
55796.0,0
55921.48,0
55822.17,-1
55829.28,1
55841.73,0
55964.97,0
55843.56,-1
55920.19,1
55909.21,-1
55906.03,0
55968.87,0
55807.01,-1
55684.37,0
55599.99,1
55793.9,0
55832.8,0
55723.07,-1
55850.29,1
55737.0,-1
55892.42,1
55851.91,-1
55841.42,0
55743.03,0
55705.67,1
55575.69,0
55609.8,1
55379.1,-1
55507.81,1
55730.76,0
55768.1,0
55630.79,-1
55650.0,1
55482.71,0
55438.22,1
55478.87,0
55472.93,0
55284.43,-1
55438.32,1
55693.25,0
55582.97,-1
55609.44,1
55495.35,0
55760.3,1
55830.9,0
55736.95,-1
55772.11,1
55883.41,0
55871.9,-1
55911.59,0
55878.03,0
55826.71,0
55889.67,1
55883.83,-1
55944.92,0
55956.2,0
55973.16,-1
56014.63,0
55982.11,-1
55959.76,1
55938.61,0
55911.35,0
55845.0,0
55823.51,1
55795.36,0
55687.59,-1
55700.0,1
55976.26,0
56010.9,0
56035.0,-1
55985.08,0
56035.03,1
56003.98,-1
55945.17,0
55984.64,1
55958.02,-1
55975.16,0
55946.53,-1
56020.73,0
56089.6,0
56183.66,0
56101.08,-1
56147.73,1
56140.24,-1
56109.0,0
56069.99,0
56057.76,0
55982.67,0
56166.92,1
56122.11,-1
56124.66,0
56090.01,0
56136.37,0
56187.8,0
56238.42,0
56056.64,-1
56026.82,1
55880.02,0
55932.19,1
55941.83,0
55822.52,-1
55791.58,1
55830.05,0
55735.94,-1
55766.34,1
55719.99,-1
55939.37,0
55989.44,0
55803.74,-1
55588.21,0
55618.58,1
55729.31,0
55786.03,0
55716.02,-1
55827.35,1
55791.49,-1
55760.68,0
55750.71,1
55796.17,0
55781.38,-1
55903.23,0
55904.44,-1
56031.24,0
56021.17,-1
56086.5,0
56219.55,0
56288.0,0
56219.56,-1
56186.37,0
56146.66,0
56075.87,0
56104.59,1
56164.4,0
56199.69,0
56217.25,0
56287.74,0
56279.34,-1
56343.23,0
56424.99,0
56348.98,-1
56317.14,0
56272.81,0
56250.01,1
56223.95,0
56231.46,0
56365.24,0
56555.78,0
56580.56,-1
56494.75,0
56526.08,1
56479.96,0
56461.04,1
56426.62,0
56413.91,0
56420.84,0
56416.91,0
56448.86,0
56359.06,-1
56405.06,1
56536.52,0
56489.27,-1
56479.4,0
56628.48,0
56550.5,-1
56400.57,0
56462.77,1
56394.83,-1
56450.8,0
56386.59,-1
56309.59,0
56255.3,1
56336.29,0
56475.02,0
56569.94,0
56619.61,0
56748.97,0
56708.65,-1
56745.25,1
56652.13,0
56595.03,0
56618.9,1
56554.73,-1
56580.95,0
56483.72,-1
56464.74,1
56624.98,0
56601.31,-1
56395.14,0
56353.69,1
56442.57,0
56510.71,0
56310.43,-1
56278.25,1
56411.93,0
56464.09,0
56806.36,0
56983.41,0
57258.23,0
57224.87,-1
57353.44,1
57171.86,0
57421.06,1
57340.77,-1
57385.37,1
57459.27,0
57539.04,0
57330.34,-1
57339.77,1
57326.51,0
57308.49,0
57196.97,-1
57183.6,1
57151.64,0
57160.62,0
57160.38,0
57100.02,-1
57216.37,0
57169.57,-1
57188.47,0
57105.82,-1
57169.92,1
57122.35,-1
57073.73,0
57073.63,0
56997.47,-1
56899.94,0
56844.79,1
56769.46,0
56871.25,0
56914.13,0
56940.02,0
56961.0,0
57060.63,0
57068.54,-1
56955.24,0
56896.73,0
57035.42,1
57194.07,0
57103.35,-1
57087.38,0
57132.21,1
57137.25,-1
57091.99,0
57031.53,0
57129.5,1
57161.45,0
57150.47,-1
