"x"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,1"
"1,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1,1"
"1,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1,1"
"1,1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,1"
"1,1"
"1,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,1"
"1,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1,1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,1"
"1,1"
"1,1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,-1"
"1,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,1"
"1,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1,1"
"1,1"
"1,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,1"
"1,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,-1"
"1971-05-16 04:00:00,1"
"1971-05-16 04:00:00,1"
