asset
AAVE
ADA
ALGO
APT
AXS
BONK
BOME
CAKE
CYBER
DOGE
EOS
ETC
ETHFI
FIRE
FLT
FTT
FTM
GALA
INJ
ICP
JUP
NEON
NEAR
NGL
ONDO
PEPE
PENDLE
PPT
PYTH
RUNE
SEI
SOL
SUI
THETA
TOKEN
UNI
WAVES
WLD
XRP
ZIL
