method,return_method,span,look,horizon,n,balance
semicovariance,ema_historical_return,300,96,8,28,0.12064794062433634
semicovariance,ema_historical_return,300,99,3,76,0.12062150304167758
semicovariance,ema_historical_return,300,96,6,38,0.12050081354390335
semicovariance,ema_historical_return,300,88,6,39,0.12049409238742995
semicovariance,ema_historical_return,300,99,7,32,0.12042872170897659
semicovariance,ema_historical_return,300,84,7,34,0.12042734140054225
semicovariance,ema_historical_return,300,85,5,48,0.12009061448778291
semicovariance,ema_historical_return,300,94,4,58,0.12005175910688352
semicovariance,ema_historical_return,300,91,12,19,0.1199737659986743
semicovariance,ema_historical_return,300,96,7,32,0.11973463631266577
semicovariance,ema_historical_return,300,99,5,45,0.11968918559290849
semicovariance,ema_historical_return,300,92,7,33,0.11936601268907224
semicovariance,ema_historical_return,300,90,7,33,0.1193253944315108
semicovariance,ema_historical_return,300,85,7,34,0.11924716999465447
semicovariance,ema_historical_return,300,85,9,26,0.11893415205879562
semicovariance,ema_historical_return,300,86,5,48,0.11866956604140323
semicovariance,ema_historical_return,300,87,5,47,0.11796522799534359
semicovariance,ema_historical_return,300,90,6,39,0.11780055137345569
semicovariance,ema_historical_return,300,91,7,33,0.11777975978709737
semicovariance,ema_historical_return,300,96,3,77,0.11773831369958264
semicovariance,ema_historical_return,300,97,4,57,0.11725387943128024
semicovariance,ema_historical_return,300,92,5,46,0.11710224885494495
semicovariance,ema_historical_return,300,90,3,79,0.11650324407818398
semicovariance,ema_historical_return,300,93,3,78,0.1163787857159935
semicovariance,ema_historical_return,300,82,5,48,0.11584953961717467
semicovariance,ema_historical_return,300,96,4,57,0.11569794258743443
semicovariance,ema_historical_return,300,95,7,32,0.11503580621775604
semicovariance,ema_historical_return,300,99,4,57,0.1149148461152128
semicovariance,ema_historical_return,300,84,6,40,0.11491311411390129
semicovariance,ema_historical_return,300,91,5,47,0.11466030514518885
semicovariance,ema_historical_return,300,87,3,80,0.11462772130830548
semicovariance,ema_historical_return,300,89,7,33,0.11459838613280143
semicovariance,ema_historical_return,300,84,5,48,0.11458771858967176
semicovariance,ema_historical_return,300,94,5,46,0.11401453480267901
semicovariance,ema_historical_return,300,95,4,58,0.11388610572488776
semicovariance,ema_historical_return,300,82,4,61,0.11371157227260781
semicovariance,ema_historical_return,300,99,8,28,0.11357071667327111
semicovariance,ema_historical_return,300,94,9,25,0.11295675821533704
semicovariance,ema_historical_return,300,98,5,45,0.11290833302933584
semicovariance,ema_historical_return,300,82,6,40,0.11287813495292165
semicovariance,ema_historical_return,300,94,6,38,0.1126234343432625
semicovariance,ema_historical_return,300,89,5,47,0.11245625246829992
semicovariance,ema_historical_return,300,86,7,34,0.11200655663168199
semicovariance,ema_historical_return,300,87,4,60,0.11141280571027841
semicovariance,ema_historical_return,300,88,4,59,0.111296584014234
semicovariance,ema_historical_return,300,93,7,33,0.1112386009257701
