asset
AAVE
ADA
AEVO
ALGO
APT
AXS
BONK
BOME
CAKE
COQ
CYBER
CPOOL
EOS
ETC
ETHFI
FIRE
FLT
FTM
GALA
INJ
ICP
JUP
MASK
NEON
NEAR
ONDO
PEPE
PPT
PYTH
RUNE
RVN
SEI
SQT
SUI
THETA
TOKEN
UNI
WAVES
WLD
XRP
ZIL
