method,look,horizon,n,balance
ledoit_wolf_single_factor,101,4,233,0.556572838408583
exp_cov,86,7,135,0.555422195601337
oracle_approximating,100,6,155,0.5553975127694378
sample_cov,100,9,103,0.5550552341969607
oracle_approximating,94,7,133,0.5550102644195021
oracle_approximating,92,7,134,0.5549209465137006
sample_cov,100,6,155,0.5548939179755882
ledoit_wolf_constant_correlation,84,3,317,0.5544498694599249
ledoit_wolf,94,6,156,0.554167740537713
ledoit_wolf_constant_variance,94,6,156,0.554167740537713
ledoit_wolf_single_factor,102,3,311,0.5540052681821475
semicovariance,72,4,240,0.553969277730386
oracle_approximating,101,7,132,0.5538076423127155
ledoit_wolf_constant_correlation,82,6,158,0.5537877797877675
oracle_approximating,94,6,156,0.5537426856710193
ledoit_wolf_single_factor,84,8,118,0.5536752671971066
exp_cov,93,9,104,0.5535710942106294
ledoit_wolf_single_factor,84,5,189,0.5534961497971209
ledoit_wolf_constant_correlation,91,4,235,0.5533497501682617
ledoit_wolf_single_factor,99,4,233,0.5527872902253265
ledoit_wolf_single_factor,86,4,237,0.5523289544108749
ledoit_wolf_constant_correlation,80,3,318,0.552055019813671
sample_cov,92,6,156,0.5518360036795209
ledoit_wolf_single_factor,87,7,134,0.5517344120993508
ledoit_wolf_constant_variance,86,6,157,0.5516665536607261
ledoit_wolf,86,6,157,0.5516665536607261
sample_cov,91,9,104,0.551573039698343
ledoit_wolf_constant_correlation,92,3,314,0.551508442153161
semicovariance,82,7,135,0.5513482535702694
sample_cov,92,7,134,0.5512292133240874
ledoit_wolf_constant_correlation,88,4,236,0.5511752308700437
semicovariance,77,4,239,0.5511577112438706
ledoit_wolf_constant_variance,95,8,116,0.5508104928808403
ledoit_wolf,95,8,116,0.5508104928808403
sample_cov,97,6,155,0.5507677679815843
sample_cov,101,7,132,0.5506342181619767
ledoit_wolf_single_factor,99,6,155,0.5505919916259014
ledoit_wolf_single_factor,82,5,190,0.550316444433777
oracle_approximating,100,9,103,0.5501959970217087
oracle_approximating,89,8,117,0.5501216784422507
oracle_approximating,95,8,116,0.5500356674032869
oracle_approximating,101,5,186,0.5500200650268297
ledoit_wolf_single_factor,89,3,315,0.5498669459955965
semicovariance,74,7,136,0.5495045535979772
ledoit_wolf_constant_correlation,86,8,118,0.5494901692091233
exp_cov,100,9,103,0.5493498597701123
ledoit_wolf_constant_correlation,96,7,133,0.5493449040285839
ledoit_wolf_single_factor,100,4,233,0.5492304694648636
ledoit_wolf,89,8,117,0.5490349492907884
ledoit_wolf_constant_variance,89,8,117,0.5490349492907884
ledoit_wolf_single_factor,93,4,235,0.5490280015723488
ledoit_wolf_constant_correlation,96,3,313,0.5490194275179009
ledoit_wolf_constant_correlation,78,4,239,0.5487509985165405
ledoit_wolf,100,9,103,0.5485342140718262
ledoit_wolf_constant_variance,100,9,103,0.5485342140718262
ledoit_wolf_constant_correlation,76,6,159,0.5484397430043493
ledoit_wolf_constant_variance,72,7,137,0.5482160985743294
ledoit_wolf,72,7,137,0.5482160985743294
exp_cov,100,6,155,0.5481568297209772
semicovariance,80,9,105,0.5479511241087869
oracle_approximating,86,6,157,0.5479505022903398
sample_cov,94,6,156,0.547895051415763
ledoit_wolf,101,8,116,0.5478824200664089
ledoit_wolf_constant_variance,101,8,116,0.5478824200664089
ledoit_wolf_single_factor,83,6,158,0.5477404296112924
sample_cov,86,6,157,0.5474510528888747
oracle_approximating,94,5,187,0.5473721105771638
ledoit_wolf_single_factor,87,6,157,0.5473701761857696
ledoit_wolf,94,5,187,0.5472743999275896
ledoit_wolf_constant_variance,94,5,187,0.5472743999275896
exp_cov,100,8,116,0.5470119562408493
ledoit_wolf_single_factor,79,6,158,0.5468297116513507
ledoit_wolf_constant_correlation,97,7,133,0.5466515756062181
ledoit_wolf_constant_variance,97,8,116,0.5463617827968277
ledoit_wolf,97,8,116,0.5463617827968277
sample_cov,84,7,135,0.5462191032362272
exp_cov,98,5,187,0.5461089460250205
exp_cov,91,9,104,0.5460220474058853
ledoit_wolf,99,8,116,0.5459180973909061
ledoit_wolf_constant_variance,99,8,116,0.5459180973909061
oracle_approximating,72,7,137,0.5455575262274849
sample_cov,101,5,186,0.5454117150251943
sample_cov,89,8,117,0.545205515997699
sample_cov,78,5,191,0.545030807537555
ledoit_wolf_single_factor,89,5,188,0.5446567386771097
ledoit_wolf_single_factor,97,3,312,0.5446485907424986
ledoit_wolf_single_factor,94,4,235,0.5445185746107917
ledoit_wolf_constant_correlation,95,7,133,0.5444254946104454
ledoit_wolf_single_factor,96,5,187,0.5443478971326052
ledoit_wolf_constant_correlation,88,6,157,0.5441182318327563
ledoit_wolf_single_factor,73,5,192,0.5438732937404439
ledoit_wolf_single_factor,87,5,189,0.5438313949252342
ledoit_wolf_constant_correlation,77,9,105,0.543556845096225
ledoit_wolf_single_factor,93,6,156,0.5433702669854887
oracle_approximating,91,9,104,0.543281886819763
ledoit_wolf_constant_variance,98,8,116,0.5429133725967327
ledoit_wolf,98,8,116,0.5429133725967327
sample_cov,95,8,116,0.5428480290073434
ledoit_wolf_constant_correlation,75,4,239,0.542707900973658
semicovariance,80,4,238,0.5426585321137875
ledoit_wolf_constant_correlation,91,3,314,0.5426560699518237
semicovariance,72,5,192,0.5425638248622893
exp_cov,101,7,132,0.5423644294435981
oracle_approximating,101,8,116,0.5421163604049211
oracle_approximating,97,8,116,0.5415126141436999
ledoit_wolf_constant_correlation,82,9,105,0.541476703945736
oracle_approximating,75,9,106,0.5413769021748613
ledoit_wolf_single_factor,73,6,159,0.5411743667685858
ledoit_wolf_single_factor,99,9,103,0.5410392596741652
semicovariance,75,4,239,0.5408386630114549
ledoit_wolf_constant_correlation,85,9,104,0.5405749505683578
ledoit_wolf_single_factor,87,8,117,0.5405593630107869
semicovariance,83,3,317,0.5405586396991382
oracle_approximating,99,8,116,0.5403919220321036
ledoit_wolf_single_factor,80,5,190,0.540059622087594
exp_cov,72,7,137,0.5400337475588991
exp_cov,102,5,186,0.5398914320289745
sample_cov,88,5,189,0.5398384970777326
ledoit_wolf,91,9,104,0.5397901254776988
ledoit_wolf_constant_variance,91,9,104,0.5397901254776988
ledoit_wolf_constant_correlation,81,4,238,0.5394761839456614
sample_cov,101,8,116,0.539446596314439
sample_cov,97,8,116,0.5394191867476794
exp_cov,98,6,155,0.5394138822523453
sample_cov,83,5,190,0.5391737179909959
semicovariance,78,8,119,0.5385688538280409
oracle_approximating,83,5,190,0.5384237120328912
ledoit_wolf_constant_correlation,74,4,240,0.5383765745788849
ledoit_wolf,75,9,106,0.5382628420664598
ledoit_wolf_constant_variance,75,9,106,0.5382628420664598
sample_cov,72,7,137,0.5379843767925763
sample_cov,94,7,133,0.5378623622491315
ledoit_wolf_single_factor,81,6,158,0.5375548976572287
ledoit_wolf_constant_correlation,88,9,104,0.5374982277251781
ledoit_wolf_constant_correlation,91,5,188,0.5370702306289424
ledoit_wolf_single_factor,91,8,117,0.5368812208265934
exp_cov,92,7,134,0.5368101067687825
ledoit_wolf_single_factor,92,5,188,0.536499880873088
oracle_approximating,78,5,191,0.536471445016995
exp_cov,84,7,135,0.5363716085709679
ledoit_wolf_single_factor,98,9,103,0.5362602922538292
ledoit_wolf,83,5,190,0.5362090568941901
ledoit_wolf_constant_variance,83,5,190,0.5362090568941901
sample_cov,75,9,106,0.5358591326783132
exp_cov,95,8,116,0.5358383929817282
ledoit_wolf,90,8,117,0.5350561259712442
ledoit_wolf_constant_variance,90,8,117,0.5350561259712442
ledoit_wolf_single_factor,96,4,234,0.535011938561446
ledoit_wolf_constant_correlation,75,6,159,0.5349176653307258
ledoit_wolf_single_factor,95,3,313,0.5348685130365456
ledoit_wolf_single_factor,84,9,105,0.5347275475566243
ledoit_wolf_single_factor,73,7,136,0.534400642369321
oracle_approximating,94,8,117,0.5343662262990351
exp_cov,102,4,233,0.5343093139120622
ledoit_wolf_single_factor,87,3,316,0.534255811745565
ledoit_wolf,88,8,117,0.5340656652508935
ledoit_wolf_constant_variance,88,8,117,0.5340656652508935
ledoit_wolf_single_factor,77,6,159,0.5340401455360201
semicovariance,76,8,119,0.534032326288045
ledoit_wolf_single_factor,85,4,237,0.5337250071332742
sample_cov,86,9,104,0.5335000214843
ledoit_wolf_single_factor,102,7,132,0.5334312905744735
exp_cov,92,6,156,0.5334282279062712
sample_cov,101,3,311,0.533410139002884
ledoit_wolf_single_factor,78,7,136,0.5333652601048802
sample_cov,99,8,116,0.5333317839095786
ledoit_wolf_constant_correlation,82,3,317,0.5333264846126651
exp_cov,94,7,133,0.5327610453548974
ledoit_wolf_constant_correlation,79,3,318,0.5326416916145996
exp_cov,97,8,116,0.5326297861931264
exp_cov,102,8,116,0.5323626997556473
oracle_approximating,88,8,117,0.5322472947685593
ledoit_wolf,91,6,156,0.5322127724055679
ledoit_wolf_constant_variance,91,6,156,0.5322127724055679
ledoit_wolf_single_factor,90,5,188,0.5318453209139536
oracle_approximating,98,8,116,0.5318097973915917
ledoit_wolf_constant_correlation,73,4,240,0.5317627008845547
ledoit_wolf_constant_variance,94,8,117,0.5316599923308669
ledoit_wolf,94,8,117,0.5316599923308669
ledoit_wolf_constant_correlation,89,7,134,0.5314801413000906
ledoit_wolf,78,5,191,0.5310262164823627
ledoit_wolf_constant_variance,78,5,191,0.5310262164823627
ledoit_wolf,85,6,157,0.5309899031316252
ledoit_wolf_constant_variance,85,6,157,0.5309899031316252
exp_cov,89,8,117,0.5309230775737379
ledoit_wolf_single_factor,89,6,157,0.5308760472998364
ledoit_wolf_single_factor,96,9,103,0.53074511267081
sample_cov,100,4,233,0.5305509720808821
ledoit_wolf_single_factor,97,4,234,0.5304714776557793
ledoit_wolf,85,7,135,0.5304175968904371
ledoit_wolf_constant_variance,85,7,135,0.5304175968904371
ledoit_wolf,94,9,103,0.5302496435905999
ledoit_wolf_constant_variance,94,9,103,0.5302496435905999
exp_cov,100,5,186,0.5302456559817476
ledoit_wolf_constant_correlation,87,9,104,0.5301696795157246
sample_cov,94,5,187,0.5298676407333726
oracle_approximating,91,6,156,0.5296055939860971
ledoit_wolf_constant_correlation,84,4,237,0.5289478407465508
exp_cov,94,8,117,0.5289323717663974
ledoit_wolf_single_factor,94,8,117,0.5288556860098184
sample_cov,94,8,117,0.5280158218363501
ledoit_wolf_constant_correlation,77,3,319,0.5280036498579563
ledoit_wolf,99,5,186,0.5279241731650154
ledoit_wolf_constant_variance,99,5,186,0.5279241731650154
ledoit_wolf_constant_variance,101,3,311,0.5277034870734552
ledoit_wolf,101,3,311,0.5277034870734552
exp_cov,97,6,155,0.5276631923835158
oracle_approximating,94,9,103,0.5275340635481374
oracle_approximating,85,7,135,0.527505380742841
oracle_approximating,88,5,189,0.5274397096310826
oracle_approximating,101,3,311,0.5273404925752913
exp_cov,102,6,155,0.5272211372483999
ledoit_wolf_single_factor,79,5,190,0.5270957420544685
ledoit_wolf,83,6,158,0.5270371784568707
ledoit_wolf_constant_variance,83,6,158,0.5270371784568707
ledoit_wolf_single_factor,75,5,191,0.5269993999236733
ledoit_wolf,79,7,136,0.5269934820092566
ledoit_wolf_constant_variance,79,7,136,0.5269934820092566
ledoit_wolf_constant_correlation,71,4,240,0.5269554983289692
oracle_approximating,99,5,186,0.5269054782945279
ledoit_wolf_constant_correlation,90,3,315,0.5267478248043078
ledoit_wolf_single_factor,77,7,136,0.5267258110660564
oracle_approximating,90,8,117,0.5267077515951546
sample_cov,98,3,312,0.526498335815486
exp_cov,99,8,116,0.52641146332913
ledoit_wolf_single_factor,71,7,137,0.5262210262239991
ledoit_wolf_single_factor,83,8,118,0.5260013930418002
semicovariance,76,7,136,0.5258434260578494
ledoit_wolf_constant_variance,90,4,236,0.5257807392220758
ledoit_wolf,90,4,236,0.5257807392220758
ledoit_wolf_constant_correlation,81,3,318,0.5256588531608166
ledoit_wolf_single_factor,86,9,104,0.5254377192722584
oracle_approximating,83,6,158,0.525278985712424
ledoit_wolf_constant_variance,98,4,234,0.5249395679636699
ledoit_wolf,98,4,234,0.5249395679636699
oracle_approximating,98,3,312,0.524762481909363
sample_cov,88,8,117,0.5246602090329321
ledoit_wolf_single_factor,87,4,236,0.5243420341441802
exp_cov,86,9,104,0.5241807614558993
oracle_approximating,85,6,157,0.5241601388590413
sample_cov,102,3,311,0.5240178657506335
ledoit_wolf_constant_correlation,80,8,118,0.5233881484535237
ledoit_wolf,98,3,312,0.5233545210586249
ledoit_wolf_constant_variance,98,3,312,0.5233545210586249
ledoit_wolf_single_factor,77,5,191,0.5229583827847052
exp_cov,83,5,190,0.5228422881517732
oracle_approximating,98,4,234,0.5228100940742202
ledoit_wolf_constant_correlation,89,9,104,0.5227002120738928
ledoit_wolf_constant_correlation,79,4,238,0.5225424042411428
sample_cov,98,4,234,0.5225116396361785
oracle_approximating,79,7,136,0.5225011950904875
ledoit_wolf,99,4,233,0.5224783401197969
ledoit_wolf_constant_variance,99,4,233,0.5224783401197969
ledoit_wolf_constant_variance,88,5,189,0.5224681349181128
ledoit_wolf,88,5,189,0.5224681349181128
exp_cov,98,8,116,0.5222754951097772
oracle_approximating,99,4,233,0.5222529071257356
sample_cov,94,9,103,0.5218614154972608
oracle_approximating,90,4,236,0.5215566129112872
sample_cov,99,5,186,0.5214681442772329
ledoit_wolf_constant_correlation,90,9,104,0.5212644972532887
ledoit_wolf_single_factor,97,9,103,0.5211318094494156
ledoit_wolf,102,3,311,0.5210684854703427
ledoit_wolf_constant_variance,102,3,311,0.5210684854703427
ledoit_wolf_single_factor,76,5,191,0.5209717861367765
sample_cov,91,6,156,0.5209558296422843
sample_cov,99,4,233,0.5209004989935394
sample_cov,98,8,116,0.52082858147085
ledoit_wolf_single_factor,81,5,190,0.5206876266873574
exp_cov,94,9,103,0.5206586616742028
exp_cov,78,5,191,0.5206519430425641
oracle_approximating,100,4,233,0.5206080612488613
ledoit_wolf_constant_correlation,92,4,235,0.5205727700098005
ledoit_wolf_constant_correlation,74,5,191,0.5205678061163482
oracle_approximating,102,3,311,0.5205352946783517
ledoit_wolf_constant_variance,80,6,158,0.520449391450398
ledoit_wolf,80,6,158,0.520449391450398
exp_cov,94,5,187,0.5201031515947883
sample_cov,100,3,311,0.520089638523516
ledoit_wolf_single_factor,81,4,238,0.5200545327918861
sample_cov,94,4,235,0.5195833014197964
ledoit_wolf_single_factor,85,5,189,0.5194199892270469
ledoit_wolf_single_factor,91,4,235,0.5192718410614421
oracle_approximating,94,4,235,0.5192680603424562
ledoit_wolf_constant_correlation,81,8,118,0.5191919338408622
ledoit_wolf_constant_correlation,78,6,159,0.5188092450652143
sample_cov,83,6,158,0.5187847944833567
semicovariance,75,7,136,0.5186151388537124
ledoit_wolf_single_factor,77,9,105,0.5185106428932865
exp_cov,88,5,189,0.5185032041866862
ledoit_wolf_constant_correlation,78,9,105,0.5184688670904121
ledoit_wolf_single_factor,74,6,159,0.5181994088601691
ledoit_wolf_single_factor,94,3,313,0.5180252876650934
ledoit_wolf,96,9,103,0.5179472135089527
ledoit_wolf_constant_variance,96,9,103,0.5179472135089527
ledoit_wolf_constant_variance,100,4,233,0.5178689474091478
ledoit_wolf,100,4,233,0.5178689474091478
ledoit_wolf,98,9,103,0.5177232383924625
ledoit_wolf_constant_variance,98,9,103,0.5177232383924625
ledoit_wolf_single_factor,88,3,315,0.5176696195340466
ledoit_wolf_single_factor,85,9,104,0.5175286116623007
ledoit_wolf_constant_variance,94,4,235,0.5173472031824223
ledoit_wolf,94,4,235,0.5173472031824223
ledoit_wolf_constant_variance,99,6,155,0.5171083229560786
ledoit_wolf,99,6,155,0.5171083229560786
sample_cov,89,4,236,0.5170976676127286
ledoit_wolf,87,8,117,0.5170283517419085
ledoit_wolf_constant_variance,87,8,117,0.5170283517419085
ledoit_wolf,96,6,156,0.5169076547868202
ledoit_wolf_constant_variance,96,6,156,0.5169076547868202
oracle_approximating,96,9,103,0.5168618582273109
ledoit_wolf_constant_correlation,77,4,239,0.5166659481417165
ledoit_wolf,97,5,187,0.5162527867264082
ledoit_wolf_constant_variance,97,5,187,0.5162527867264082
oracle_approximating,100,3,311,0.5162199194838767
ledoit_wolf_constant_correlation,83,4,237,0.5161753963379422
sample_cov,85,7,135,0.516098958663674
oracle_approximating,96,6,156,0.5154745781458081
ledoit_wolf_constant_variance,100,3,311,0.5154158291938155
ledoit_wolf,100,3,311,0.5154158291938155
ledoit_wolf_single_factor,95,4,234,0.5153708453229425
ledoit_wolf_constant_variance,82,8,118,0.5150500147895102
ledoit_wolf,82,8,118,0.5150500147895102
ledoit_wolf_constant_correlation,72,8,119,0.5145652305550931
ledoit_wolf,101,4,233,0.5142988436140309
ledoit_wolf_constant_variance,101,4,233,0.5142988436140309
ledoit_wolf_constant_variance,90,5,188,0.5141570230446446
ledoit_wolf,90,5,188,0.5141570230446446
oracle_approximating,93,6,156,0.5141115979131874
oracle_approximating,87,8,117,0.513924468676866
sample_cov,85,6,157,0.5138039196556601
oracle_approximating,97,5,187,0.5137682796581842
ledoit_wolf,96,5,187,0.5137502119594374
ledoit_wolf_constant_variance,96,5,187,0.5137502119594374
ledoit_wolf_single_factor,86,8,118,0.5133885044104065
ledoit_wolf_single_factor,88,4,236,0.5133605168491727
oracle_approximating,98,9,103,0.5131879796095727
ledoit_wolf,93,6,156,0.5130453069922698
ledoit_wolf_constant_variance,93,6,156,0.5130453069922698
sample_cov,97,5,187,0.512540056346826
ledoit_wolf_single_factor,99,3,312,0.512091777758628
ledoit_wolf,86,4,237,0.511990876334448
ledoit_wolf_constant_variance,86,4,237,0.511990876334448
sample_cov,89,6,157,0.5119742379251284
ledoit_wolf_constant_correlation,80,9,105,0.5119177160364845
sample_cov,90,4,236,0.5116218877352513
exp_cov,97,5,187,0.5115790736382471
oracle_approximating,90,5,188,0.5115298714791463
ledoit_wolf_single_factor,82,4,238,0.511523528137779
sample_cov,90,5,188,0.51138379095343
exp_cov,88,8,117,0.5112138967444759
oracle_approximating,86,9,104,0.5111395730013082
oracle_approximating,99,6,155,0.5109585350875825
ledoit_wolf_constant_correlation,76,3,319,0.5107861347356433
ledoit_wolf_single_factor,88,6,157,0.5106084595078544
sample_cov,101,4,233,0.5105236712022242
oracle_approximating,89,4,236,0.5105088046860623
ledoit_wolf_single_factor,96,6,156,0.5103224583754545
sample_cov,90,8,117,0.5102492777330653
sample_cov,93,6,156,0.5102363751371873
sample_cov,73,7,136,0.5101718739179768
ledoit_wolf_constant_variance,83,9,105,0.5101500413764221
ledoit_wolf,83,9,105,0.5101500413764221
exp_cov,94,4,235,0.5100877731195517
ledoit_wolf_constant_correlation,93,3,314,0.5099527301954823
oracle_approximating,80,6,158,0.5098956389301577
oracle_approximating,73,7,136,0.5097991326030114
sample_cov,87,8,117,0.5096895192492437
exp_cov,101,5,186,0.50951562347583
sample_cov,96,9,103,0.5095088844895294
sample_cov,85,8,118,0.5094924674116504
sample_cov,96,6,156,0.5094746226681377
oracle_approximating,101,4,233,0.5088939533375457
ledoit_wolf_constant_variance,80,5,190,0.5088887060440747
ledoit_wolf,80,5,190,0.5088887060440747
ledoit_wolf_constant_variance,84,9,105,0.5086488841982723
ledoit_wolf,84,9,105,0.5086488841982723
semicovariance,79,3,318,0.5086123320065191
oracle_approximating,96,5,187,0.5082324589565343
oracle_approximating,86,4,237,0.5080403073513757
ledoit_wolf_constant_correlation,76,8,119,0.5080086618982944
oracle_approximating,85,8,118,0.5076313269684641
ledoit_wolf_constant_variance,89,4,236,0.5076271809288048
ledoit_wolf,89,4,236,0.5076271809288048
exp_cov,90,8,117,0.5075474662117685
ledoit_wolf,86,9,104,0.5075345663441216
ledoit_wolf_constant_variance,86,9,104,0.5075345663441216
ledoit_wolf_single_factor,77,8,119,0.5072639371362165
semicovariance,73,3,320,0.5068101255548455
ledoit_wolf_constant_variance,85,8,118,0.5066652995450058
ledoit_wolf,85,8,118,0.5066652995450058
exp_cov,98,4,234,0.5065201341198448
ledoit_wolf,97,9,103,0.5065039013729153
ledoit_wolf_constant_variance,97,9,103,0.5065039013729153
oracle_approximating,82,8,118,0.5064341858470046
ledoit_wolf,77,7,136,0.5062813392472637
ledoit_wolf_constant_variance,77,7,136,0.5062813392472637
exp_cov,75,9,106,0.506205379504695
sample_cov,79,7,136,0.5058747051530856
oracle_approximating,84,9,105,0.5058080156126982
ledoit_wolf_constant_correlation,79,9,105,0.5057777944190437
oracle_approximating,83,9,105,0.5057418688433901
oracle_approximating,95,3,313,0.5056482214987452
ledoit_wolf_single_factor,76,9,105,0.5053009976274928
sample_cov,99,6,155,0.5052257084459618
ledoit_wolf_single_factor,84,3,317,0.5050720055375106
ledoit_wolf_single_factor,82,6,158,0.5050094819695318
ledoit_wolf_constant_variance,93,8,117,0.505006596261159
ledoit_wolf,93,8,117,0.505006596261159
exp_cov,86,6,157,0.5049258255984312
ledoit_wolf_constant_variance,73,7,136,0.504678378767124
ledoit_wolf,73,7,136,0.504678378767124
oracle_approximating,95,4,234,0.5039923813432533
exp_cov,101,8,116,0.503876067150856
sample_cov,84,8,118,0.5037182903507418
exp_cov,93,6,156,0.5036626336222204
ledoit_wolf,95,3,313,0.5034674137408093
ledoit_wolf_constant_variance,95,3,313,0.5034674137408093
ledoit_wolf_single_factor,92,3,314,0.5034275010964694
ledoit_wolf_constant_correlation,78,3,319,0.5034217685998218
exp_cov,87,8,117,0.5033816099295131
ledoit_wolf_constant_correlation,82,7,135,0.503201389171562
oracle_approximating,77,7,136,0.5030978260039161
ledoit_wolf_constant_correlation,90,7,134,0.5029943903615225
exp_cov,79,7,136,0.5025816131547379
exp_cov,83,6,158,0.5025804591308433
sample_cov,77,6,159,0.5023806737703236
exp_cov,91,6,156,0.5023731039749355
exp_cov,96,5,187,0.5023512252759001
oracle_approximating,84,8,118,0.5022210384813449
oracle_approximating,89,6,157,0.5018802648404685
ledoit_wolf_constant_variance,95,4,234,0.5016994027886627
ledoit_wolf,95,4,234,0.5016994027886627
sample_cov,98,9,103,0.501661447206345
exp_cov,99,4,233,0.5016357702062935
ledoit_wolf_constant_correlation,71,6,160,0.5015775797819686
exp_cov,96,6,156,0.5015736564564305
ledoit_wolf_constant_variance,89,6,157,0.5014761866032893
ledoit_wolf,89,6,157,0.5014761866032893
ledoit_wolf,89,9,104,0.5014232768410294
ledoit_wolf_constant_variance,89,9,104,0.5014232768410294
exp_cov,92,8,117,0.5014023414892411
ledoit_wolf,74,9,106,0.5011340042854919
ledoit_wolf_constant_variance,74,9,106,0.5011340042854919
sample_cov,95,3,313,0.5010247095856604
ledoit_wolf_constant_variance,84,8,118,0.5009821582800743
ledoit_wolf,84,8,118,0.5009821582800743
ledoit_wolf_constant_correlation,71,8,119,0.5009569318499648
ledoit_wolf_single_factor,83,3,317,0.5009124958718898
oracle_approximating,93,8,117,0.5006871940068761
ledoit_wolf_constant_correlation,90,6,157,0.5004609566325656
ledoit_wolf_single_factor,95,7,133,0.5003373044182383
exp_cov,84,8,118,0.5003006142225124
exp_cov,100,3,311,0.5000892455752424
ledoit_wolf_single_factor,91,3,314,0.49997501973509995
ledoit_wolf_constant_correlation,75,7,136,0.49985651943787696
sample_cov,96,5,187,0.49977517465619015
exp_cov,99,6,155,0.49969089045197657
oracle_approximating,97,9,103,0.4994098891757345
ledoit_wolf_single_factor,85,3,316,0.4993726355643249
sample_cov,92,8,117,0.49928115462598577
oracle_approximating,80,5,190,0.49926483994545034
sample_cov,95,4,234,0.499223533289466
ledoit_wolf_constant_variance,91,8,117,0.49920857713509575
ledoit_wolf,91,8,117,0.49920857713509575
ledoit_wolf_single_factor,75,8,119,0.4989420987613824
ledoit_wolf,86,8,118,0.49880582535911455
ledoit_wolf_constant_variance,86,8,118,0.49880582535911455
sample_cov,86,4,237,0.4987980783800438
ledoit_wolf_single_factor,75,6,159,0.4987831802667816
exp_cov,90,5,188,0.49861714187327233
ledoit_wolf_single_factor,73,4,240,0.49861373785976426
sample_cov,83,9,105,0.49860816366976746
ledoit_wolf,87,7,134,0.49840369584369987
ledoit_wolf_constant_variance,87,7,134,0.49840369584369987
oracle_approximating,87,7,134,0.4983403131859261
ledoit_wolf,79,6,158,0.4983146085739134
ledoit_wolf_constant_variance,79,6,158,0.4983146085739134
ledoit_wolf,99,9,103,0.4982574247214971
ledoit_wolf_constant_variance,99,9,103,0.4982574247214971
ledoit_wolf_single_factor,81,8,118,0.4982374896825315
sample_cov,93,4,235,0.498175584732209
ledoit_wolf_constant_variance,88,9,104,0.4978393806216426
ledoit_wolf,88,9,104,0.4978393806216426
oracle_approximating,91,8,117,0.49773952912192126
exp_cov,85,8,118,0.4976788265873497
oracle_approximating,92,8,117,0.497321016025151
sample_cov,86,3,316,0.4971238561532603
exp_cov,92,5,188,0.49710942021479715
ledoit_wolf_single_factor,96,3,313,0.49699919186040903
ledoit_wolf_single_factor,82,9,105,0.49687620001413385
exp_cov,100,4,233,0.49686416535412936
ledoit_wolf_constant_variance,92,8,117,0.49676982574237055
ledoit_wolf,92,8,117,0.49676982574237055
sample_cov,84,9,105,0.496609025115227
ledoit_wolf,97,3,312,0.4966047528048973
ledoit_wolf_constant_variance,97,3,312,0.4966047528048973
exp_cov,101,3,311,0.49655658876065745
oracle_approximating,77,6,159,0.49624965906650714
sample_cov,92,5,188,0.4961703484740115
ledoit_wolf,93,4,235,0.4961516210957856
ledoit_wolf_constant_variance,93,4,235,0.4961516210957856
ledoit_wolf,102,7,132,0.4959328320378608
ledoit_wolf_constant_variance,102,7,132,0.4959328320378608
exp_cov,84,9,105,0.49585246112229725
sample_cov,87,9,104,0.4956564550741034
oracle_approximating,86,8,118,0.49549875111799685
oracle_approximating,97,3,312,0.49534596910092715
ledoit_wolf_single_factor,89,7,134,0.4953257409652013
oracle_approximating,99,9,103,0.49531148563184335
oracle_approximating,74,9,106,0.49498208514001246
ledoit_wolf_constant_variance,77,6,159,0.49490809790126267
ledoit_wolf,77,6,159,0.49490809790126267
oracle_approximating,84,6,158,0.49473148930023325
oracle_approximating,89,9,104,0.4946556617077854
sample_cov,87,6,157,0.4945821221066764
ledoit_wolf_constant_correlation,73,8,119,0.49442147752237015
oracle_approximating,93,4,235,0.4944138800924297
ledoit_wolf_single_factor,86,5,189,0.4943657610020881
exp_cov,96,9,103,0.4943230343924978
exp_cov,85,6,157,0.4942237803506072
sample_cov,82,8,118,0.4941865735293441
sample_cov,87,7,134,0.493892765622205
sample_cov,87,3,316,0.49363607062266157
oracle_approximating,87,9,104,0.4935103844963934
ledoit_wolf_single_factor,87,9,104,0.49345596130607
sample_cov,97,3,312,0.49340588517928097
ledoit_wolf_constant_variance,87,4,236,0.4932505583362856
ledoit_wolf,87,4,236,0.4932505583362856
oracle_approximating,86,3,316,0.49298772198799345
ledoit_wolf,86,3,316,0.4929532034059472
ledoit_wolf_constant_variance,86,3,316,0.4929532034059472
ledoit_wolf_constant_variance,87,9,104,0.4928550057249798
ledoit_wolf,87,9,104,0.4928550057249798
oracle_approximating,87,4,236,0.49263212692861325
ledoit_wolf,84,6,158,0.4925920540963761
ledoit_wolf_constant_variance,84,6,158,0.4925920540963761
ledoit_wolf_single_factor,90,3,315,0.4925672197057118
exp_cov,90,4,236,0.4925386740218224
sample_cov,96,4,234,0.49244704834608566
oracle_approximating,92,5,188,0.49235236904974333
sample_cov,93,8,117,0.4922338968076533
sample_cov,84,6,158,0.49209391085513454
oracle_approximating,96,4,234,0.4920230033546889
exp_cov,98,3,312,0.49198114257431785
ledoit_wolf_single_factor,84,6,158,0.49185082107551537
ledoit_wolf_constant_variance,82,5,190,0.49180860090618367
ledoit_wolf,82,5,190,0.49180860090618367
ledoit_wolf_single_factor,97,7,133,0.49164249698719403
ledoit_wolf_constant_correlation,81,9,105,0.49156800861227995
sample_cov,99,9,103,0.4914682699210837
sample_cov,87,4,236,0.4912046397806786
