asset
AQUA
BANE
BANEP
CHMF
CIAN
FIVE
LKOH
MAGN
NLMK
POSI
ROSN
SBER
SIBN
SMLT
SNGSP
TATN
TRNFP
OZON
WUSH
RTKM
MAGN
NVTK
YNDX
